Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
11/08/2022;13,65;1,00050788;1.291.820.899.626,43;1606;13,65;13,64;13,65;0,023;393,362;
10/08/2022;13,65;1,00050788;1.297.623.368.472,15;1570;13,65;13,64;13,65;0,023;382,12;
09/08/2022;13,65;1,00050788;1.282.010.740.245,9;1517;13,65;13,64;13,65;0,023;744,626;
08/08/2022;13,65;1,00050788;1.266.596.163.759,81;1543;13,65;13,64;13,65;0,022;405,213;
05/08/2022;13,65;1,00050788;1.260.337.997.539,34;1529;13,65;13,64;13,65;0,023;383,828;
04/08/2022;13,65;1,00050788;1.267.420.763.243,15;1515;13,65;13,64;13,65;0,022;412,706;
03/08/2022;13,15;1,00049037;1.229.464.628.015,84;1504;13,15;13,14;13,15;0,022;388,211;
02/08/2022;13,15;1,00049037;1.225.573.764.464,06;1503;13,15;13,14;13,15;0,022;396,341;
01/08/2022;13,15;1,00049037;1.228.577.772.747,14;1525;13,15;13,14;13,15;0,022;400,374;
29/07/2022;13,15;1,00049037;1.244.689.683.367,88;1519;13,15;13,14;13,15;0,022;389,648;
28/07/2022;13,15;1,00049037;1.283.862.068.857,57;1517;13,15;13,14;13,15;0,021;438,095;
27/07/2022;13,15;1,00049037;1.291.179.554.402,1;1495;13,15;13,14;13,15;0,023;362,914;
26/07/2022;13,15;1,00049037;1.284.197.209.155,22;1523;13,15;13,14;13,15;0,023;339,723;
25/07/2022;13,15;1,00049037;1.331.337.463.622,56;1542;13,15;13,14;13,15;0,022;396,677;
22/07/2022;13,15;1,00049037;1.322.074.890.832,66;1551;13,15;13,14;13,15;0,023;342,451;
21/07/2022;13,15;1,00049037;1.331.454.723.036,35;1517;13,15;13,14;13,15;0,022;371,99;
20/07/2022;13,15;1,00049037;1.393.224.339.900,23;1545;13,15;13,14;13,15;0,021;435,325;
19/07/2022;13,15;1,00049037;1.389.636.881.726,68;1517;13,15;13,14;13,15;0,02;485,924;
18/07/2022;13,15;1,00049037;1.381.842.170.643,02;1532;13,15;13,14;13,15;0,021;427,756;
15/07/2022;13,15;1,00049037;1.404.336.392.988,62;1565;13,15;13,14;13,15;0,02;491,14;
14/07/2022;13,15;1,00049037;1.402.397.336.087,03;1533;13,15;13,14;13,15;0,021;430,765;
13/07/2022;13,15;1,00049037;1.410.345.597.967,68;1528;13,15;13,14;13,15;0,02;466,412;
12/07/2022;13,15;1,00049037;1.406.416.358.112,72;1532;13,15;13,14;13,15;0,02;498,951;
11/07/2022;13,15;1,00049037;1.403.591.375.010,19;1557;13,15;13,14;13,15;0,021;406,606;
08/07/2022;13,15;1,00049037;1.398.886.816.479,31;1424;13,15;13,14;13,15;0,021;411,142;
07/07/2022;13,15;1,00049037;1.419.665.967.680,24;1534;13,15;13,14;13,15;0,02;474,017;
06/07/2022;13,15;1,00049037;1.398.912.973.187,34;1531;13,15;13,14;13,15;0,021;455,161;
05/07/2022;13,15;1,00049037;1.385.002.076.948,67;1530;13,15;13,14;13,15;0,022;373,316;
04/07/2022;13,15;1,00049037;1.388.048.770.897,8;1543;13,15;13,14;13,15;0,022;388,468;
01/07/2022;13,15;1,00049037;1.359.239.198.926,19;1570;13,15;13,14;13,15;0,023;394,216;
30/06/2022;13,15;1,00049037;1.146.781.329.440,8;1495;13,15;13,14;13,15;0,025;298;
29/06/2022;13,15;1,00049037;1.215.156.506.933,49;1547;13,15;13,14;13,15;0,023;327,487;
28/06/2022;13,15;1,00049037;1.235.952.556.857,17;1533;13,15;13,14;13,15;0,023;357,494;
27/06/2022;13,15;1,00049037;1.241.993.997.469,65;1541;13,15;13,14;13,15;0,023;330,914;
24/06/2022;13,15;1,00049037;1.239.381.296.582,4;1539;13,15;13,14;13,15;0,023;359,833;
23/06/2022;13,15;1,00049037;1.249.641.601.792,2;1513;13,15;13,14;13,15;0,02;412,487;
22/06/2022;13,15;1,00049037;1.243.775.235.881,42;1534;13,15;13,14;13,15;0,024;324,128;
21/06/2022;13,15;1,00049037;1.266.967.263.352,13;1534;13,15;13,14;13,15;0,024;336,359;
20/06/2022;13,15;1,00049037;1.299.077.766.184,25;1578;13,15;13,14;13,15;0,023;396,917;
17/06/2022;13,15;1,00049037;1.314.780.639.479,51;1531;13,15;13,14;13,15;0,023;355,686;
15/06/2022;12,65;1,00047279;1.279.599.011.552,07;1574;12,65;12,64;12,65;0,022;364,561;
14/06/2022;12,65;1,00047279;1.297.152.254.729,55;1558;12,65;12,64;12,65;0,021;423,895;
13/06/2022;12,65;1,00047279;1.300.502.930.250,6;1547;12,65;12,64;12,65;0,023;317,518;
10/06/2022;12,65;1,00047279;1.283.608.720.202,17;1579;12,65;12,64;12,65;0,024;297,519;
